gid;ferrovia;operacao;observacao;extensaokm;bitolatipo;produtos;ferrosigla;pnvcoin;operadora;codpnvsimp;modal;bitola_ext;situacao;cod_pnv;wkt;geometria
1;Serra do Navio - Porto Santana;1953-03-20T00:00:00.000Z;Operação dividido entre terceirizados sob fiscalização ICOMI-Ind. e Com. de Minérios S.A;7;BITOLA NORMAL;Minério de manganês, ferro-silício, dormentes e areia;EFA;;MMX Logística;EF-401;Ferrovia;1.435;FERROVIA EM TRAFEGO;401FAP0030;MULTILINESTRING((-51.886590351999516 0.705929114028136,-51.899770427806395 0.723206209134968,-51.906550466722685 0.73111725261001,-51.92701358416254 0.754688382085217));ST_MultiLineString
2;Serra do Navio - Porto Santana;1953-03-20T00:00:00.000Z;Operação dividido entre terceirizados sob fiscalização ICOMI-Ind. e Com. de Minérios S.A;5;BITOLA NORMAL;Minério de manganês, ferro-silício, dormentes e areia;EFA;;MMX Logística;EF-401;Ferrovia;1.435;FERROVIA EM TRAFEGO;401FAP0020;MULTILINESTRING((-51.92701358416254 0.754688382085217,-51.944008682032155 0.777688508652975));ST_MultiLineString
3;Serra do Navio - Porto Santana;1953-03-20T00:00:00.000Z;Operação dividido entre terceirizados sob fiscalização ICOMI-Ind. e Com. de Minérios S.A;16;BITOLA NORMAL;Minério de manganês, ferro-silício, dormentes e areia;EFA;;MMX Logística;EF-401;Ferrovia;1.435;FERROVIA EM TRAFEGO;401FAP0010;MULTILINESTRING((-51.944008682032155 0.777688508652975,-51.950385718343846 0.781876531382519,-51.95560074867403 0.79201058735078,-51.95836976910286 0.841186861236132,-51.96352779958122 0.855225939015081,-51.98037089656443 0.875977053003359,-52.00262402383792 0.895186157760742));ST_MultiLineString
4;Serra do Navio - Porto Santana;1953-03-20T00:00:00.000Z;Operação dividido entre terceirizados sob fiscalização ICOMI-Ind. e Com. de Minérios S.A;4;BITOLA NORMAL;Minério de manganês, ferro-silício, dormentes e areia;EFA;;MMX Logística;EF-401;Ferrovia;1.435;FERROVIA EM TRAFEGO;401FAP0040;MULTILINESTRING((-51.852966160267805 0.681566981131315,-51.86816324662945 0.688931020894233,-51.886590351999516 0.705929114028136));ST_MultiLineString
5;Serra do Navio - Porto Santana;1953-03-20T00:00:00.000Z;Operação dividido entre terceirizados sob fiscalização ICOMI-Ind. e Com. de Minérios S.A;12;BITOLA NORMAL;Minério de manganês, ferro-silício, dormentes e areia;EFA;;MMX Logística;EF-401;Ferrovia;1.435;FERROVIA EM TRAFEGO;401FAP0050;MULTILINESTRING((-51.74404854132847 0.637137742113439,-51.76251764593278 0.639061751415267,-51.78120075209654 0.64603778886567,-51.852966160267805 0.681566981131315));ST_MultiLineString
6;Serra do Navio - Porto Santana;1953-03-20T00:00:00.000Z;Operação dividido entre terceirizados sob fiscalização ICOMI-Ind. e Com. de Minérios S.A;20;BITOLA NORMAL;Minério de manganês, ferro-silício, dormentes e areia;EFA;;MMX Logística;EF-401;Ferrovia;1.435;FERROVIA EM TRAFEGO;401FAP0060;MULTILINESTRING((-51.62216685225084 0.653799844793854,-51.660747070378434 0.646172799079847,-51.70891234262095 0.638812754189669,-51.74404854132847 0.637137742113439));ST_MultiLineString
7;Serra do Navio - Porto Santana;1953-03-20T00:00:00.000Z;Operação dividido entre terceirizados sob fiscalização ICOMI-Ind. e Com. de Minérios S.A;13;BITOLA NORMAL;Minério de manganês, ferro-silício, dormentes e areia;EFA;;MMX Logística;EF-401;Ferrovia;1.435;FERROVIA EM TRAFEGO;401FAP0070;MULTILINESTRING((-51.538337379740504 0.69542008492336,-51.569316555065654 0.687775039437694,-51.5802886169667 0.683009011804293,-51.58943766839648 0.676851976540943,-51.609372779979985 0.657642867326257,-51.62216685225084 0.653799844793854));ST_MultiLineString
8;Serra do Navio - Porto Santana;1953-03-20T00:00:00.000Z;Operação dividido entre terceirizados sob fiscalização ICOMI-Ind. e Com. de Minérios S.A;18;BITOLA NORMAL;Minério de manganês, ferro-silício, dormentes e areia;EFA;;MMX Logística;EF-401;Ferrovia;1.435;FERROVIA EM TRAFEGO;401FAP0080;MULTILINESTRING((-51.4137306722969 0.712961194145584,-51.439712818756064 0.694961090651249,-51.44769886427622 0.695616093662457,-51.45796792262358 0.694357085719523,-51.49513313430826 0.697295099097754,-51.538337379740504 0.69542008492336));ST_MultiLineString
9;Serra do Navio - Porto Santana;1953-03-20T00:00:00.000Z;Operação dividido entre terceirizados sob fiscalização ICOMI-Ind. e Com. de Minérios S.A;38;BITOLA NORMAL;Minério de manganês, ferro-silício, dormentes e areia;EFA;;MMX Logística;EF-401;Ferrovia;1.435;FERROVIA EM TRAFEGO;401FAP0100;MULTILINESTRING((-51.13027502264877 0.059748543498656,-51.12424698827441 0.080142657556186,-51.122367977628144 0.092073724300343,-51.1216899743423 0.136151970966685,-51.119549962394736 0.154505073775113,-51.091178801212386 0.220714445609169,-51.08350075807258 0.252586624763312,-51.076699720266056 0.289976835081127,-51.07919273642611 0.339599114074788,-51.09171781041025 0.389034391797635,-51.09292781771407 0.396829435637982));ST_MultiLineString
10;Serra do Navio - Porto Santana;1953-03-20T00:00:00.000Z;Operação dividido entre terceirizados sob fiscalização ICOMI-Ind. e Com. de Minérios S.A;60;BITOLA NORMAL;Minério de manganês, ferro-silício, dormentes e areia;EFA;;MMX Logística;EF-401;Ferrovia;1.435;FERROVIA EM TRAFEGO;401FAP0090;MULTILINESTRING((-51.09292781771407 0.396829435637982,-51.095687834443 0.415472540514957,-51.10155786879752 0.429284618034783,-51.1795293211302 0.527771168554747,-51.18781537070821 0.560888354718591,-51.19501941330111 0.580917467184589,-51.20363846329848 0.590605521222312,-51.29512398950579 0.634960764514746,-51.32767217664074 0.652123858675427,-51.374758447442446 0.679929011467194,-51.400002592797996 0.697749109685194,-51.4137306722969 0.712961194145584));ST_MultiLineString
11;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;62;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-290;Ferrovia;1.000;FERROVIA EM TRAFEGO;290FRS0330;MULTILINESTRING((-56.499281744703126 -29.762783089904406,-56.51129283138986 -29.766244049407394,-56.537147964023895 -29.76252295056164,-56.546376992833245 -29.757358911287895,-56.580762212136136 -29.76134578908268,-56.608729330810846 -29.752249676880112,-56.63837052084324 -29.755945571721263,-56.64488655304165 -29.7547785465581,-56.65335258068693 -29.750326510843657,-56.66095962231097 -29.749803482331433,-56.68434678141472 -29.754651401282672,-56.68948882472019 -29.757441385221444,-56.69634991762257 -29.76842737120704,-56.70493198359401 -29.77177834303311,-56.719713073177985 -29.77258428942631,-56.73334018050233 -29.778443245194456,-56.7396972385685 -29.782829226227342,-56.751994261852396 -29.77292617086953,-56.75737329119493 -29.77255315067354,-56.76364631016555 -29.76896912392712,-56.767547287413514 -29.75960110005245,-56.77120430432649 -29.758722085690355,-56.78378639256446 -29.761911042573,-56.79187342290365 -29.758513009337268,-56.79918846049842 -29.757538981400256,-56.806586530797105 -29.763223959885863,-56.81984056708916 -29.75489190262649,-56.83399064394778 -29.753876849454638,-56.83773964706464 -29.75004583177474,-56.84086066119311 -29.74923981946004,-56.84334968731288 -29.751665812731787,-56.87004782856283 -29.748998711634062,-56.880377893164145 -29.75002767458171,-56.91055811118701 -29.75909457234619,-56.935962246047296 -29.75670347622118,-56.94781031531351 -29.75690943269969,-56.961891409279865 -29.75956138335825,-56.98462957471541 -29.76667730644859,-57.00070866145972 -29.765484245874916,-57.00624773280189 -29.773616233437405,-57.01088474815613 -29.771284214002527,-57.06072105752662 -29.775992034406276,-57.080490148262214 -29.77129695670138,-57.090628124795636 -29.754482902756727));ST_MultiLineString
12;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;38;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-290;Ferrovia;1.000;FERROVIA EM TRAFEGO;290FRS0320;MULTILINESTRING((-56.17658082809906 -29.756907266175425,-56.19092790788954 -29.755973212695636,-56.21045900164551 -29.751618136557926,-56.27978131367841 -29.731946861793986,-56.294248399255274 -29.73212080904415,-56.33036067286541 -29.745061690668983,-56.338997719718485 -29.744295658218775,-56.360996811424904 -29.73661056946149,-56.37852590422931 -29.73460150311482,-56.39874404646169 -29.73961143434504,-56.407978129708326 -29.74570140694137,-56.413572195669595 -29.752615393733876,-56.41723026840538 -29.763279391562826,-56.42084230877694 -29.767279382524038,-56.42725835728146 -29.7695693613916,-56.46835957661012 -29.765311206075033,-56.482934672294334 -29.767527154885478,-56.4921997058084 -29.763277116424145,-56.499281744703126 -29.762783089904406));ST_MultiLineString
13;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;42;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-290;Ferrovia;1.000;FERROVIA EM TRAFEGO;290FRS0310;MULTILINESTRING((-55.78960066905267 -29.783158707473223,-55.807017711499626 -29.77043962978492,-55.81893676166987 -29.76615458157664,-55.825749798803045 -29.765474556001426,-55.843880934225524 -29.771319496481798,-55.852989976873104 -29.768955460652567,-55.87159204899782 -29.76100938400992,-55.92932331770361 -29.745796156699235,-55.95608646938896 -29.74444705764524,-55.97308552971559 -29.73607798640701,-56.003230697297774 -29.73392087410933,-56.04422590820856 -29.727486717499968,-56.0577429988576 -29.729784670712057,-56.11973944171479 -29.746031462134194,-56.16675976773025 -29.756353301488918,-56.17314180789313 -29.756907278751548,-56.17658082809906 -29.756907266175425));ST_MultiLineString
14;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;30;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-290;Ferrovia;1.000;FERROVIA EM TRAFEGO;290FRS0300;MULTILINESTRING((-55.57828201417733 -29.699684380254407,-55.59800716528945 -29.706745316903575,-55.616419276634545 -29.707099250549067,-55.62309532848655 -29.70964222926049,-55.628807385727136 -29.71452321414611,-55.63862251596696 -29.729600195809645,-55.64568058430094 -29.735123176503652,-55.687690889306516 -29.746671037068964,-55.756475458963294 -29.78034682494882,-55.78960066905267 -29.783158707473223));ST_MultiLineString
15;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;22;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-153;Ferrovia;1.000;FERROVIA EM TRAFEGO;153FRS0870;MULTILINESTRING((-55.38580738133572 -30.83006331793323,-55.410300605610665 -30.845184241694934,-55.425099754188274 -30.856917198188476,-55.435344836586474 -30.860971163925196,-55.452359940527366 -30.86116910040367,-55.47305909494981 -30.866978028704484,-55.48446019569204 -30.873294992316126,-55.48872125369667 -30.879694982753392));ST_MultiLineString
65;Ferrovias Bandeirantes S.A.;1999-01-01T00:00:00.000Z;Sem Observação;6;BITOLA LARGA;Derivados de petróleo, adubos, grãos, minerais e pellets;FERROBAN;;ALL - América Latina Logística Malha Paulista S.A.;EF-364;Ferrovia;1.600;FERROVIA EM TRAFEGO;364FSP0230;MULTILINESTRING((-49.3014950488654 -20.88216552671159,-49.26874889754455 -20.903238670128257));ST_MultiLineString
16;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;23;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-153;Ferrovia;1.000;FERROVIA EM TRAFEGO;153FRS0880;MULTILINESTRING((-55.25026676122439 -30.670246657272255,-55.34290089295888 -30.784501431524312,-55.35487307295528 -30.80594940887517,-55.36289712847843 -30.80732638031644,-55.374104238472945 -30.815721347038597,-55.38580738133572 -30.83006331793323));ST_MultiLineString
17;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;23;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-153;Ferrovia;1.000;FERROVIA EM TRAFEGO;153FRS0890;MULTILINESTRING((-55.13772833962005 -30.521063914142193,-55.167288716856405 -30.561136848340855,-55.173316853585185 -30.58139484788367,-55.18283401676231 -30.60269283553172,-55.190958125229756 -30.61463281822267,-55.229908503123035 -30.643157704176737,-55.23405755161354 -30.647853693762077,-55.25026676122439 -30.670246657272255));ST_MultiLineString
18;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;13;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-290;Ferrovia;1.000;FERROVIA EM TRAFEGO;290FRS0290;MULTILINESTRING((-55.434401965754226 -29.65972985428315,-55.457461141873324 -29.667812780445754,-55.49053736853326 -29.67394766802536,-55.53264463497075 -29.67713851939314,-55.552640813039154 -29.689524461385375,-55.56601992034546 -29.695320419637966,-55.57828201417733 -29.699684380254407));ST_MultiLineString
19;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;44;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-290;Ferrovia;1.000;FERROVIA EM TRAFEGO;290FRS0280;MULTILINESTRING((-55.13385669708217 -29.772726073932873,-55.139447711768454 -29.768718048953843,-55.14410569459215 -29.759179020738785,-55.135702575358785 -29.744711033763238,-55.13336149413069 -29.730542025221812,-55.13557845286948 -29.719004003371893,-55.13957144816574 -29.712925981670622,-55.14475747001954 -29.71094196058822,-55.166890610243414 -29.71240788253356,-55.17631566248823 -29.71145884740154,-55.187698707757754 -29.70654980046329,-55.231472801741724 -29.670771599767527,-55.25465886359759 -29.6543904965732,-55.27191392259269 -29.644952423085126,-55.27427393498867 -29.644578414131924,-55.27867995577324 -29.64338139681992,-55.28630500266313 -29.643623369625967,-55.30623114989555 -29.649490304790596,-55.316734212504606 -29.649413266821465,-55.343478333350184 -29.641072160434852,-55.350027369492665 -29.64041913603629,-55.38826865075395 -29.651480011159084,-55.409547778371085 -29.651543934406597,-55.434401965754226 -29.65972985428315));ST_MultiLineString
20;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;9;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-290;Ferrovia;1.000;FERROVIA EM TRAFEGO;290FRS0270;MULTILINESTRING((-55.0562404829875 -29.826291418347832,-55.06150551413382 -29.82615039915032,-55.06809151928929 -29.818863366641796,-55.07975249443857 -29.798806300529296,-55.086109503663394 -29.792665270220148,-55.13385669708217 -29.772726073932873));ST_MultiLineString
21;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;40;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-153;Ferrovia;1.000;FERROVIA EM TRAFEGO;153FRS0900;MULTILINESTRING((-54.941725842101185 -30.253971335625238,-54.95311500022418 -30.272272314949817,-54.999896839768134 -30.38618627260631,-55.04125225219245 -30.419065157385145,-55.07055956936964 -30.44742008100885,-55.0832486820171 -30.45465804227399,-55.10152786843837 -30.46999999182355,-55.112823998709 -30.482540963949898,-55.128413198584994 -30.503917929834298,-55.13772833962005 -30.521063914142193));ST_MultiLineString
22;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;17;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-153;Ferrovia;1.000;FERROVIA EM TRAFEGO;153FRS0910;MULTILINESTRING((-54.97897437660948 -30.110830034272087,-54.97602647499098 -30.134953073049104,-54.972467494667896 -30.14351309595266,-54.96755656162973 -30.163565137094203,-54.965210619578784 -30.178510162939357,-54.96326864896679 -30.18703117987014,-54.959584700124815 -30.20223821086556,-54.954698715329904 -30.211519239403675,-54.95354074724238 -30.21956525290055,-54.951531821832994 -30.237484280850868,-54.941725842101185 -30.253971335625238));ST_MultiLineString
23;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;20;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-153;Ferrovia;1.000;FERROVIA EM TRAFEGO;153FRS0920;MULTILINESTRING((-54.96836757922318 -29.958077893311234,-54.96956064339143 -29.96998490310124,-54.966405770171896 -30.0004699505965,-54.98420515202769 -30.057552953049708,-54.98493019598092 -30.065782960042874,-54.98478922266898 -30.071511967253286,-54.98308230510291 -30.09080099598274,-54.97897437660948 -30.110830034272087));ST_MultiLineString
24;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;11;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-153;Ferrovia;1.000;FERROVIA EM TRAFEGO;153FRS0930;MULTILINESTRING((-54.9291768268308 -29.850068905909115,-54.929937866229245 -29.857387911981426,-54.93950804867638 -29.883542908846042,-54.94436713218285 -29.894891904882602,-54.956375301962076 -29.91523688576542,-54.95711933703802 -29.92164489071801,-54.95402036354711 -29.931138913256124,-54.954007398520474 -29.93848192204978,-54.96836757922318 -29.958077893311234));ST_MultiLineString
25;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;33;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-497;Ferrovia;1.000;FERROVIA EM TRAFEGO;497FRS0240;MULTILINESTRING((-54.81010443347281 -29.919427419732823,-54.81561434013358 -29.892765367556372,-54.81010443347281 -29.919427419732823,-54.802180458346605 -29.934775466913337,-54.779402458025935 -29.96380458429998,-54.73679533609929 -29.992681773248012,-54.7236813351405 -30.009234840664554,-54.713626307819695 -30.01636188564738,-54.69930824727541 -30.021986944250756,-54.68080420657996 -30.037121029486233,-54.671371238951046 -30.05594108633254,-54.663820288108134 -30.075852137657545,-54.66166134886692 -30.091288164036563,-54.659171355922055 -30.095937178645777));ST_MultiLineString
26;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;9;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-497;Ferrovia;1.000;FERROVIA EM TRAFEGO;497FRS0230;MULTILINESTRING((-54.659171355922055 -30.095937178645777,-54.64619530880007 -30.10266823377089,-54.6320562392789 -30.106218289293658,-54.60515307426488 -30.10616438673701,-54.59784404240441 -30.108859416471642,-54.584535005889435 -30.118255476030807));ST_MultiLineString
27;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;12;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-290;Ferrovia;1.000;FERROVIA EM TRAFEGO;290FRS0260;MULTILINESTRING((-54.9291768268308 -29.850068905909115,-54.95921997793819 -29.84354878956287,-54.96828701317309 -29.839404751831065,-54.985767025259015 -29.81966466495902,-54.99196004565229 -29.8160646382682,-54.997726077641104 -29.815452616715497,-55.00623514111572 -29.817977589028935,-55.038368340140586 -29.818964474157564,-55.0562404829875 -29.826291418347832));ST_MultiLineString
28;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;11;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;EF-290;América Latina Logística Malha Sul S.A.;EF-153;Ferrovia;1.000;FERROVIA EM TRAFEGO;153FRS0940;MULTILINESTRING((-54.81562534067124 -29.89286436763665,-54.83649640798847 -29.880330277099578,-54.9291768268308 -29.850068905909115));ST_MultiLineString
29;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;21;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;EF-290;América Latina Logística Malha Sul S.A.;EF-153;Ferrovia;1.000;FERROVIA EM TRAFEGO;153FRS0950;MULTILINESTRING((-54.66103818875652 -29.848579870634858,-54.68202731821821 -29.84887879546643,-54.697641425825665 -29.851494742479886,-54.73955073189332 -29.862181604646203,-54.754682837343374 -29.864982553537846,-54.7647059071746 -29.866837519673265,-54.779032995572194 -29.86708746832209,-54.79496808998714 -29.866550410202706,-54.79765311472538 -29.868320402674193,-54.81562534067124 -29.89286436763665));ST_MultiLineString
30;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;43;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;EF-290;América Latina Logística Malha Sul S.A.;EF-153;Ferrovia;1.000;FERROVIA EM TRAFEGO;153FRS0960;MULTILINESTRING((-54.47667364519681 -29.760299421901525,-54.48108768233155 -29.762448408820518,-54.50936200476935 -29.79416934757809,-54.53530623106181 -29.808491272522154,-54.573957547759434 -29.82550515505087,-54.59222971815947 -29.83792810487954,-54.59887476890569 -29.840072083661564,-54.6132748617318 -29.84109703316702,-54.62313092525683 -29.841799998600646,-54.65465314998566 -29.848620893660378,-54.66103818875652 -29.848579870634858));ST_MultiLineString
64;Ferrovias Bandeirantes S.A.;1999-01-01T00:00:00.000Z;Sem Observação;10;BITOLA LARGA;Derivados de petróleo, adubos, grãos, minerais e pellets;FERROBAN;;ALL - América Latina Logística Malha Paulista S.A.;EF-364;Ferrovia;1.600;FERROVIA EM TRAFEGO;364FSP0220;MULTILINESTRING((-49.3014950488654 -20.88216552671159,-49.31662107370965 -20.85579340908525,-49.32902912503599 -20.845599347940638,-49.3519282171694 -20.82584023219364,-49.379857379258574 -20.82017814801925));ST_MultiLineString
31;América Latina Logística do Brasil;1997-03-01T00:00:00.000Z;Trecho sub-utilizado da América Latina Logística;16;BITOLA METRICA;Farelo de soja, derivados de petróleo, álcool, arroz, adubo e soja;ALL;;América Latina Logística Malha Sul S.A.;EF-495;Ferrovia;1.000;FERROVIA EM TRAFEGO;495FRS0280;MULTILINESTRING((-54.48557776585632 -29.560743134456814,-54.49204981671819 -29.56317411456744,-54.512349913957635 -29.557431034880995,-54.530666017367984 -29.555626967343773,-54.54158706893524 -29.552389924283062,-54.56048314366753 -29.54368684578168,-54.56998816959819 -29.536808803075647,-54.58269418476756 -29.523428740597634,-54.58913920623641 -29.51960271272556,-54.6055102828203 -29.514629648047727));ST_MultiLineString
32;Ferrovia Novoeste S.A.;1996-07-01T00:00:00.000Z;Abrangendo a antiga SR-10 (Bauru), localizada nos Estados de SP e MS;8;BITOLA METRICA;Derivados de petróleo, minérios de ferro e manganês, soja, produtos siderúrgicos e farelo de soja;NOVOESTE;;América Latina Logística Malha Oeste S.A.;EF-265;Ferrovia;1.000;FERROVIA EM TRAFEGO;265FSP0710;MULTILINESTRING((-51.37986803899568 -20.896565517987572,-51.40190715355675 -20.889474443329874,-51.430163293313946 -20.877870340460397,-51.43551632763558 -20.878483328993536,-51.44643238022036 -20.873510287862448));ST_MultiLineString
33;Ferrovia Novoeste S.A.;1996-07-01T00:00:00.000Z;Abrangendo a antiga SR-10 (Bauru), localizada nos Estados de SP e MS;10;BITOLA METRICA;Derivados de petróleo, minérios de ferro e manganês, soja, produtos siderúrgicos e farelo de soja;NOVOESTE;;América Latina Logística Malha Oeste S.A.;EF-265;Ferrovia;1.000;FERROVIA EM TRAFEGO;265FSP0700;MULTILINESTRING((-51.37986803899568 -20.896565517987572,-51.37518803659908 -20.905916556244502,-51.35300095930371 -20.92667467031859,-51.34803895500676 -20.93595670907614,-51.34843599522845 -20.94944574657628));ST_MultiLineString
34;Ferrovia Novoeste S.A.;1996-07-01T00:00:00.000Z;Abrangendo a antiga SR-10 (Bauru), localizada nos Estados de SP e MS;9;BITOLA METRICA;Derivados de petróleo, minérios de ferro e manganês, soja, produtos siderúrgicos e farelo de soja;NOVOESTE;;América Latina Logística Malha Oeste S.A.;EF-265;Ferrovia;1.000;FERROVIA EM TRAFEGO;265FSP0690;MULTILINESTRING((-51.28917072450069 -20.98202298617044,-51.29452374741263 -20.97852496293754,-51.316303879727585 -20.978237908202615,-51.32053290010645 -20.976291892183557,-51.33072492774758 -20.963951831767265,-51.3384009668661 -20.96118380487778,-51.342163981785504 -20.958309787370908,-51.34843599522845 -20.94944574657628));ST_MultiLineString
35;América Latina Logística do Brasil;2001-01-01T00:00:00.000Z;Antiga FERROBAN / N. Contrato 047/98;57;BITOLA LARGA;Derivados de petróleo, adubos, grãos, minerais e pellets;ALL;151FSP;América Latina Logística Malha Paulista S.A.;EF-364;Ferrovia;1.600;FERROVIA EM TRAFEGO;364FSP0020;MULTILINESTRING((-50.40123223350199 -20.288240849013242,-50.4061150699449 -20.285860459106225,-50.413134160150925 -20.287264255373014,-50.41539247038615 -20.285555260443342,-50.42711128927346 -20.28415141983923,-50.43339795093926 -20.284761758383706,-50.44700886470848 -20.280855464268267,-50.45402795357977 -20.281770977786437,-50.4648922674644 -20.27755951346419,-50.47050753660122 -20.27755950017187,-50.47722145086485 -20.279634685905116,-50.494128284194566 -20.27603356069795,-50.502184974176714 -20.27585043559353,-50.50871578295033 -20.278352869139894,-50.52879644772082 -20.268648202239774,-50.54619157640233 -20.269258514452947,-50.55888695566202 -20.264863939784114,-50.56871368789591 -20.26913639040582,-50.58031042784292 -20.264863889024355,-50.585193270984384 -20.265046983477028,-50.595691400879694 -20.27188291681764,-50.601489776521525 -20.271882903068768,-50.60869195999088 -20.268342836201867,-50.619495248021536 -20.267854527855054,-50.6434211201714 -20.24655313708288,-50.65800858615947 -20.23666537725426,-50.67760100490622 -20.24148712276299,-50.695118192772775 -20.23776392544136,-50.70482283865726 -20.23636008959431,-50.72179072909364 -20.24105977059081,-50.73753788545508 -20.236970365416532,-50.75359022382992 -20.23452891371487,-50.77330472382717 -20.24325692060107,-50.78600013148747 -20.249665601174723,-50.7916154029943 -20.25064215327786,-50.797596892571256 -20.25344976470925,-50.80919362010012 -20.24466064819536,-50.8096208600309 -20.24136473881906,-50.81663991912541 -20.231232855701116,-50.82323175471226 -20.230561451309207,-50.83482851019393 -20.232270413289935,-50.83800234284539 -20.226655154476777,-50.84312932241431 -20.224763046764075,-50.84941598341302 -20.225251314555184,-50.85973100556098 -20.23178207141704,-50.86699422934624 -20.230134099987065,-50.869801873697206 -20.233857249038362,-50.87682096300209 -20.235077939149967,-50.882619345594904 -20.237763480309376,-50.89012671587862 -20.23776346246108,-50.89903789374938 -20.234162356243864,-50.90862044827839 -20.225251173898737,-50.91203843408128 -20.223786317627084,-50.92619864459393 -20.21157921607964));ST_MultiLineString
36;Ferrovias Bandeirantes S.A.;1999-01-01T00:00:00.000Z;Ponte rodoferroviária com 2.600 m de extensão sobre o rio Paraná;16;BITOLA LARGA;Derivados de petróleo, adubos, grãos, minerais e pellets;FERROBAN;;ALL - América Latina Logística Malha Paulista S.A.;EF-364;Ferrovia;1.600;FERROVIA EM TRAFEGO;364FSP0010;MULTILINESTRING((-50.92625339488792 -20.211563610433966,-51.094030090206196 -20.08712283899345));ST_MultiLineString
