gid;ferrovia;operacao;observacao;extensaokm;bitolatipo;produtos;ferrosigla;pnvcoin;operadora;codpnvsimp;modal;bitola_ext;situacao;cod_pnv;wkt;geometria
1256;MRS Logística;1996-12-01T00:00:00.000Z;Sem Observação;3;BITOLA LARGA;Minério de ferro, coque, enxofre, calcário, containers, cimento, produtos siderúrgicos, carvão e ferro-gusa;MRS;;MRS Logística S.A.;EF-040;Ferrovia;1.600;FERROVIA COM TRÁFEGO SUSPENSO;040FMG0500;MULTILINESTRING((-43.8067314995913 -20.56779892859468,-43.80229551032144 -20.585070002118396));ST_MultiLineString
1257;MRS Logística;1996-12-01T00:00:00.000Z;Sem Observação;5;BITOLA LARGA;Minério de ferro, coque, enxofre, calcário, containers, cimento, produtos siderúrgicos, carvão e ferro-gusa;MRS;;MRS Logística S.A.;EF-040;Ferrovia;1.600;FERROVIA COM TRÁFEGO SUSPENSO;040FMG0490;MULTILINESTRING((-43.8067314995913 -20.56779892859468,-43.80804547214036 -20.55263886956476,-43.798722334635066 -20.52271577847477));ST_MultiLineString
1258;MRS Logística;1996-12-01T00:00:00.000Z;Sem Observação;15;BITOLA LARGA;Minério de ferro, coque, enxofre, calcário, containers, cimento, produtos siderúrgicos, carvão e ferro-gusa;MRS;;MRS Logística S.A.;EF-040;Ferrovia;1.600;FERROVIA COM TRÁFEGO SUSPENSO;040FMG0470;MULTILINESTRING((-43.77437294128407 -20.430010485409387,-43.773598985361 -20.450643563991147,-43.77599201924452 -20.457779585479916,-43.78447309582551 -20.464946594081074,-43.794223159782426 -20.46316456663636,-43.796143184298664 -20.46777457970015,-43.79343117687008 -20.472579603375742));ST_MultiLineString
1259;MRS Logística;1996-12-01T00:00:00.000Z;Capitão Eduardo - Entroncamento com a EF-262-Belo Vale - Joaquim Murtinho;15;BITOLA LARGA;Minério de ferro, coque, enxofre, calcário, containers, cimento, produtos siderúrgicos, carvão e ferro-gusa;MRS;;MRS Logística S.A.;EF-459;Ferrovia;1.600;FERROVIA COM TRÁFEGO SUSPENSO;459EF011;MULTILINESTRING((-44.050705640832405 -20.334219539891226,-44.036954564348235 -20.34226659911304,-44.03328055082447 -20.347301625658556,-44.03277155829971 -20.351898643825855,-44.037812629852084 -20.367086689481173,-44.0385076512512 -20.373983713601252,-44.035548651038766 -20.382478751448243,-44.025018606832994 -20.394617818986326,-44.025492638025064 -20.406216860997258,-44.02482263824797 -20.40825086997247));ST_MultiLineString
1260;Ferrovia Centro - Atlântica S.A.;1996-09-01T00:00:00.000Z;Sem Observação;14;BITOLA MISTA;Derivados de petróleo, cimento, calcário, farelo de soja, trigo e soja.;FCA;;VALE;EF-040;Ferrovia;1.000 /1.600;FERROVIA EM TRAFEGO;040FMG0450;MULTILINESTRING((-43.80170364089848 -20.25385371772941,-43.79729566029199 -20.274992806354337,-43.79643370180618 -20.294987883136002,-43.78636966358139 -20.30849195505173,-43.77415359823377 -20.316926012532853,-43.76851357458634 -20.323561049341585,-43.765141582790264 -20.33690410646311));ST_MultiLineString
1261;Ferrovia Centro - Atlântica S.A.;1996-09-01T00:00:00.000Z;Sem Observação;4;BITOLA MISTA;Derivados de petróleo, cimento, calcário, farelo de soja, trigo e soja.;FCA;;VALE;EF-040;Ferrovia;1.000 /1.600;FERROVIA EM TRAFEGO;040FMG0440;MULTILINESTRING((-43.80170364089848 -20.25385371772941,-43.79287952863542 -20.23251765625865,-43.79355850072444 -20.21873260302515));ST_MultiLineString
1262;Ferrovia Centro - Atlântica S.A.;1996-09-01T00:00:00.000Z;Sem Observação;8;BITOLA METRICA;Derivados de petróleo, cimento, calcário, farelo de soja, trigo e soja.;FCA;;VALE;EF-040;Ferrovia;1.000;FERROVIA EM TRAFEGO;040FMG0430;MULTILINESTRING((-43.78159029718784 -20.16800743736842,-43.784762345504724 -20.17908547241376,-43.7981204455007 -20.18191245492256,-43.800045466589644 -20.18514646303744,-43.80000847936308 -20.190659483858095,-43.79355348365814 -20.211538575991902,-43.79355850072444 -20.21873260302515));ST_MultiLineString
1263;MRS Logística;1996-12-01T00:00:00.000Z;Capitão Eduardo - Entroncamento com a EF-262-Belo Vale - Joaquim Murtinho;11;BITOLA LARGA;Minério de ferro, coque, enxofre, calcário, containers, cimento, produtos siderúrgicos, carvão e ferro-gusa;MRS;;MRS Logística S.A.;EF-459;Ferrovia;1.600;FERROVIA COM TRÁFEGO SUSPENSO;459EF012;MULTILINESTRING((-44.05926296018888 -20.022412356129355,-44.04253987570619 -20.03590544200557,-44.04035186102866 -20.0361314474535,-44.00428159932558 -20.031497505784653));ST_MultiLineString
1264;MRS Logística;1996-12-01T00:00:00.000Z;Capitão Eduardo - Entroncamento com a EF-262-Belo Vale - Joaquim Murtinho;9;BITOLA LARGA;Minério de ferro, coque, enxofre, calcário, containers, cimento, produtos siderúrgicos, carvão e ferro-gusa;MRS;;MRS Logística S.A.;EF-459;Ferrovia;1.600;FERROVIA COM TRÁFEGO SUSPENSO;459EF013;MULTILINESTRING((-44.00428159932558 -20.031497505784653,-43.985127459543136 -20.02871353550654,-43.96622831501231 -20.02316655425229,-43.95161618744956 -20.012143543315503,-43.939049063879175 -19.9967455115189,-43.931327956562306 -19.973861441212097,-43.93136292341457 -19.959580387138185,-43.932313879639544 -19.938004303512013,-43.93815788132214 -19.9212952280529));ST_MultiLineString
1265;Ferrovia Centro - Atlântica S.A.;1996-09-01T00:00:00.000Z;Sem Observação;15;BITOLA METRICA;Derivados de petróleo, cimento, calcário, farelo de soja, trigo e soja.;FCA;;VALE;EF-040;Ferrovia;1.000;FERROVIA EM TRAFEGO;040FMG0420;MULTILINESTRING((-43.78159029718784 -20.16800743736842,-43.77952726708073 -20.16135641664948,-43.78496526882872 -20.145988347287627,-43.78356723738383 -20.136788315534755,-43.788792230096405 -20.1181952344149,-43.78476316298576 -20.10162518031794,-43.78975416587303 -20.08802411847587,-43.79914420759488 -20.07787706045232));ST_MultiLineString
1266;Ferrovia Centro - Atlântica S.A.;1996-09-01T00:00:00.000Z;Sem Observação;20;BITOLA METRICA;Derivados de petróleo, cimento, calcário, farelo de soja, trigo e soja.;FCA;;VALE;EF-040;Ferrovia;1.000;FERROVIA EM TRAFEGO;040FMG0410;MULTILINESTRING((-43.79914420759488 -20.07787706045232,-43.80778526028626 -20.074631030075,-43.80975126322625 -20.070039008604223,-43.81013521146344 -20.046830920068704,-43.813124205425396 -20.03535487040427,-43.822930240023275 -20.02091779526434,-43.822707232025664 -20.01816578531563,-43.81717917188998 -20.008944761964354,-43.81793616372474 -20.00319573861093,-43.81602413961967 -19.998589725158745,-43.81020709305834 -19.996028727605587,-43.80513804582858 -19.99094871893774,-43.80349401500886 -19.98266269095605,-43.80523501000993 -19.975318659473302,-43.80447298702019 -19.967743632328684));ST_MultiLineString
1267;Ferrovia Centro - Atlântica S.A.;1996-09-01T00:00:00.000Z;Sem Observação;11;BITOLA METRICA;Derivados de petróleo, cimento, calcário, farelo de soja, trigo e soja.;FCA;;VALE;EF-040;Ferrovia;1.000;FERROVIA EM TRAFEGO;040FMG0400;MULTILINESTRING((-43.80447298702019 -19.967743632328684,-43.814066040081364 -19.961808589808605,-43.835760158360735 -19.947667490933,-43.83847816073147 -19.940556458288828,-43.83588611157782 -19.92721041303444,-43.83227607514033 -19.922366402158243,-43.82846504350634 -19.92018740181599,-43.823324000870294 -19.91726440141217,-43.82018497039655 -19.913570393907875,-43.820014941947186 -19.901843349687795,-43.81808792316097 -19.899539344934546,-43.811054873500574 -19.899266358517533,-43.80697481635821 -19.886908319984286));ST_MultiLineString
1268;Ferrovia Centro - Atlântica S.A.;1996-09-01T00:00:00.000Z;Sem Observação;3;BITOLA MISTA;Derivados de petróleo, cimento, calcário, farelo de soja, trigo e soja.;FCA;;VALE;EF-461;Ferrovia;1.000 /1.600;FERROVIA EM TRAFEGO;461FMG0010;MULTILINESTRING((-43.733646610705506 -20.44081556186632,-43.7511977305456 -20.43953451970211,-43.7743078696142 -20.43006043512811));ST_MultiLineString
1269;Ferrovia Centro - Atlântica S.A.;1996-09-01T00:00:00.000Z;Sem Observação;12;BITOLA MISTA;Derivados de petróleo, cimento, calcário, farelo de soja, trigo e soja.;FCA;;VALE;EF-040;Ferrovia;1.000 /1.600;FERROVIA EM TRAFEGO;040FMG0460;MULTILINESTRING((-43.765141582790264 -20.33690410646311,-43.76278158208052 -20.34353213628426,-43.76344361247491 -20.35433317530677,-43.76118362022467 -20.364206217043925,-43.761322661267066 -20.380982279485327,-43.76538371886076 -20.393185316460414,-43.77022876492384 -20.398267325141656,-43.77674284576243 -20.412994366266762,-43.7743078696142 -20.43006043512811));ST_MultiLineString
1270;Ferrovia Centro - Atlântica S.A.;1996-09-01T00:00:00.000Z;Sem Observação;14;BITOLA METRICA;Derivados de petróleo, cimento, calcário, farelo de soja, trigo e soja.;FCA;;VALE;EF-461;Ferrovia;1.000;FERROVIA EM TRAFEGO;461FMG0020;MULTILINESTRING((-43.6591320519203 -20.42553166327039,-43.66310408564232 -20.427986664014362,-43.68523325209235 -20.432716634651804,-43.700978394588866 -20.446138651302167,-43.72313855126881 -20.446726606309916,-43.73094160329707 -20.44562858559141,-43.7336326183075 -20.444027573884316,-43.733646610705506 -20.44081556186632));ST_MultiLineString
